t,step,x,y,theta,theta_dot,theta_ddot,tau,x_target,y_target,theta_target,ex,ey,etheta,p_error,i_error,d_error,kp,ki,kd,reward,reward_cum,force_left,force_right
1.18,59,0.34351423382759094,0.9391474723815918,0.35065630078315735,-0.3859519362449646,-4.0692458152771,-2.0,0.3866489827632904,0.9222269654273987,0.3969951868057251,0.04313475266098976,-0.016920512542128563,0.04633891209959984,0.04633891209959984,0.21321696043014526,0.0,10.0,0.5,1.0,-0.0144472063659492,-2.6498813012567313,7.408768177032471,2.59123158454895
1.2,60,0.33474260568618774,0.9423096179962158,0.3413320779800415,-0.46621057391166687,-4.012932777404785,-2.0,0.37579697370529175,0.9267020225524902,0.3852566182613373,0.04105434566736221,-0.01560757402330637,0.043924544006586075,0.043924544006586075,0.21411959826946259,0.0,10.0,0.5,1.0,-0.010310046471565944,-2.660191347728297,7.679133892059326,2.320866107940674
1.22,61,0.3244495093822479,0.9459030032157898,0.33042970299720764,-0.5451183319091797,-3.9453859329223633,-2.0,0.36438336968421936,0.9312490224838257,0.3729705810546875,0.03993385657668114,-0.014653983525931835,0.042540863156318665,0.042540863156318665,0.2149842530488968,0.0,10.0,0.5,1.0,-0.006216122759418796,-2.666407470487716,7.9389262199401855,2.0610737800598145
1.24,62,0.31264910101890564,0.9498686790466309,0.31798067688941956,-0.6224521994590759,-3.8666954040527344,-2.0,0.35241883993148804,0.9358423948287964,0.36015450954437256,0.0397697389125824,-0.01402631588280201,0.0421738475561142,0.0421738475561142,0.21583139896392822,0.0,10.0,0.5,1.0,-0.0021796902339692743,-2.6685871607216853,8.187119483947754,1.812880039215088
1.26,63,0.2993590533733368,0.9541405439376831,0.30402082204818726,-0.697991669178009,-3.7769737243652344,-2.0,0.33991512656211853,0.9404560923576355,0.3468266427516937,0.04055607691407204,-0.013684418052434921,0.04280582070350647,0.04280582070350647,0.21668119728565216,0.0,10.0,0.5,1.0,-0.004534645457795139,-2.6731218061794806,8.422735214233398,1.577264428138733
1.28,64,0.28460124135017395,0.9586459994316101,0.2885904610157013,-0.771518886089325,-3.6763596534729004,-2.0,0.32688531279563904,0.9450640082359314,0.3330059349536896,0.0422840490937233,-0.013581966981291771,0.04441548138856888,0.04441548138856888,0.21755340695381165,0.0,10.0,0.5,1.0,-0.010432369953331607,-2.6835541761328123,8.644843101501465,1.3551568984985352
1.3,65,0.2684022784233093,0.9633069038391113,0.2717340588569641,-0.842819333076477,-3.5650217533111572,-2.0,0.31334367394447327,0.9496397972106934,0.3187119960784912,0.04494139924645424,-0.013667123392224312,0.046977926045656204,0.046977926045656204,0.2184673398733139,0.0,10.0,0.5,1.0,-0.016180669087168496,-2.699734845219981,8.85256576538086,1.1474337577819824
1.32,66,0.25079402327537537,0.9680404663085938,0.25350040197372437,-0.9116826057434082,-3.443164110183716,-2.0,0.29930591583251953,0.9541571736335754,0.30396515130996704,0.048511892557144165,-0.01388327032327652,0.05046473443508148,0.05046473443508148,0.21944177150726318,0.0,10.0,0.5,1.0,-0.021757833605436445,-2.7214926788254172,9.045084953308105,0.9549150466918945
1.34,67,0.23181428015232086,0.9727600812911987,0.23394235968589783,-0.9779031872749329,-3.3110289573669434,-2.0,0.2847890555858612,0.9585902094841003,0.2887863516807556,0.05297476425766945,-0.014169847592711449,0.054843999445438385,0.054843999445438385,0.2204948514699936,0.0,10.0,0.5,1.0,-0.027142573737878137,-2.7486352525632953,9.221639633178711,0.7783603668212891
1.36,68,0.2115071415901184,0.9773764610290527,0.21311673521995544,-1.0412812232971191,-3.1689021587371826,-2.0,0.2698114216327667,0.9629132151603699,0.2731971740722656,0.05830427259206772,-0.014463267289102077,0.06008044630289078,0.06008044630289078,0.2216441035270691,0.0,10.0,0.5,1.0,-0.03231412521416819,-2.7809493777774636,9.3815336227417,0.6184666156768799
1.3800000000000001,69,0.18992352485656738,0.9817988872528076,0.19108425080776215,-1.10162353515625,-3.017115831375122,-2.0,0.2543927729129791,0.967100977897644,0.25721976161003113,0.06446924060583115,-0.014697900041937828,0.06613551080226898,0.06613551080226898,0.22290626168251038,0.0,10.0,0.5,1.0,-0.03725236263717473,-2.8182017404146382,9.52413558959961,0.4758647382259369
1.4000000000000001,70,0.16712148487567902,0.9859362840652466,0.16790936887264252,-1.1587445735931396,-2.856051445007324,-2.0,0.2385542392730713,0.9711291790008545,0.24087683856487274,0.07143275439739227,-0.014807135798037052,0.07296746969223022,0.07296746969223022,0.22429728507995605,0.0,10.0,0.5,1.0,-0.041937920899091895,-2.86013966131373,9.648882865905762,0.3511175811290741
1.42,71,0.14316637814044952,0.9896986484527588,0.1436600238084793,-1.2124674320220947,-2.686143398284912,-2.0,0.22231827676296234,0.9749741554260254,0.2241916060447693,0.07915189117193222,-0.0147244893014431,0.08053158968687057,0.08053158968687057,0.2258322834968567,0.0,10.0,0.5,1.0,-0.046352321637407386,-2.9064919829511378,9.755282402038574,0.24471741914749146
1.44,72,0.11813102662563324,0.9929980039596558,0.11840751767158508,-1.262624979019165,-2.5078790187835693,-2.0,0.20570865273475647,0.9786132574081421,0.20718778669834137,0.08757762610912323,-0.014384737238287926,0.08878027647733688,0.08878027647733688,0.22752539813518524,0.0,10.0,0.5,1.0,-0.05047810393237886,-2.9569700868835165,9.842915534973145,0.15708419680595398
1.46,73,0.09209561347961426,0.9957501888275146,0.0922262966632843,-1.309061050415039,-2.321800470352173,-2.0,0.18875043094158173,0.9820250868797302,0.1898895502090454,0.09665481746196747,-0.013725079596042633,0.09766325354576111,0.09766325354576111,0.22938983142375946,0.0,10.0,0.5,1.0,-0.05429895484395953,-3.011269041727476,9.911436080932617,0.08856374770402908
