t,step,x,y,theta,theta_dot,theta_ddot,tau,x_target,y_target,theta_target,ex,ey,etheta,p_error,i_error,d_error,kp,ki,kd,reward,reward_cum
6.12,306,-0.9165539145469666,0.39991113543510437,-1.1593763828277588,-3.7745964527130127,10.414130210876465,1.5450849533081055,-0.41574639081954956,0.9094805717468262,-0.42876332998275757,0.500807523727417,0.5095694661140442,0.730613112449646,0.730613112449646,-0.38050204515457153,0.0,10.0,0.5,1.0,-0.5097017484429414,-66.23969375410903
6.140000000000001,307,-0.9426424503326416,0.33380410075187683,-1.2304600477218628,-3.5541813373565674,11.020746231079102,1.8406227827072144,-0.40663158893585205,0.9135922193527222,-0.41876402497291565,0.5360108613967896,0.5797881484031677,0.8116960525512695,0.8116960525512695,-0.3650789260864258,0.0,10.0,0.5,1.0,-0.4869111493373227,-66.72660490344634
6.16,308,-0.9627442359924316,0.2704136371612549,-1.296973705291748,-3.325680732727051,11.425031661987305,2.0,-0.3969299793243408,0.9178488850593567,-0.40816962718963623,0.5658142566680908,0.6474352478981018,0.8888040781021118,0.8888040781021118,-0.34807392954826355,0.0,10.0,0.5,1.0,-0.4630686597176788,-67.18967356316402
6.18,309,-0.977621853351593,0.21036994457244873,-1.3588429689407349,-3.0934646129608154,11.610804557800293,2.0,-0.3866489827632904,0.9222269654273987,-0.3969951868057251,0.5909728407859802,0.71185702085495,0.9618477821350098,0.9618477821350098,-0.32956743240356445,0.0,10.0,0.5,1.0,-0.4386933000661778,-67.6283668632302
6.2,310,-0.9880451560020447,0.15416482090950012,-1.4160141944885254,-2.8585617542266846,11.74514389038086,2.0,-0.37579697370529175,0.9267020225524902,-0.3852566182613373,0.6122481822967529,0.7725371718406677,1.0307575464248657,1.0307575464248657,-0.30964136123657227,0.0,10.0,0.5,1.0,-0.4139031833403038,-68.04227004657051
6.22,311,-0.9947673082351685,0.1021665632724762,-1.4684511423110962,-2.6218488216400146,11.835651397705078,2.0,-0.36438336968421936,0.9312490224838257,-0.3729705810546875,0.6303839087486267,0.8290824890136719,1.0954805612564087,1.0954805612564087,-0.2883789837360382,0.0,10.0,0.5,1.0,-0.38879827277750595,-68.43106831934801
6.24,312,-0.9985063076019287,0.05463684722781181,-1.5161322355270386,-2.3840537071228027,11.88976001739502,2.0,-0.35241883993148804,0.9358423948287964,-0.36015450954437256,0.6460874676704407,0.8812055587768555,1.155977725982666,1.155977725982666,-0.26586440205574036,0.0,10.0,0.5,1.0,-0.36346080585176954,-68.79452912519979
6.26,313,-0.9999309778213501,0.011748544871807098,-1.5590474605560303,-2.1457626819610596,11.914549827575684,2.0,-0.33991512656211853,0.9404560923576355,-0.3468266427516937,0.660015881061554,0.9287075996398926,1.2122209072113037,1.2122209072113037,-0.2421824187040329,0.0,10.0,0.5,1.0,-0.33795615659328376,-69.13248528179307
6.28,314,-1.0,6.123234262925839e-17,-1.5707963705062866,-1.9074304103851318,11.916610717773438,2.0,-0.32688531279563904,0.9450640082359314,-0.3330059349536896,0.6731147170066833,0.9450640082359314,1.2377903461456299,1.2377903461456299,-0.21768230199813843,0.0,10.0,0.5,1.0,-0.15393790004871052,-69.28642318184178
6.3,315,-1.0,6.123234262925839e-17,-1.5707963705062866,-1.6693229675292969,11.90537166595459,2.0,-0.31334367394447327,0.9496397972106934,-0.3187119960784912,0.6866562962532043,0.9496397972106934,1.2520843744277954,1.2520843744277954,-0.19278354942798615,0.0,10.0,0.5,1.0,-0.08631149083117982,-69.37273467267296
